sing-box|direct|0.002222|-|-|9404|0.36|48
sing-box|hy2|0.007852|0.003036|0.003969|3206|0.71|55
sing-box|hy2/udp|0.000174|-|-|968(86.1%)|1.14|-
sing-box|tuic|0.007596|0.002214|0.003464|2910|0.64|52
sing-box|tuic/udp|0.000323|-|-|983(85.8%)|1.16|-
sing-box|ss2022|0.005352|0.002812|0.003152|9395|1.09|53
sing-box|ss2022/udp|0.000355|-|-|2818(51.3%)|1.23|-
sing-box|trojan|0.006972|0.003645|0.004738|9384|0.70|54
sing-box|trojan/udp|0.000330|-|-|3673(41.9%)|1.58|-
sing-box|anytls-sb|0.006892|0.001994|0.002689|5659|0.43|51
sing-box|anytls-sb/udp|0.000327|-|-|1363(79.2%)|1.11|-
sing-box|anytls-go|0.008806|0.002150|0.002935|9378|0.90|51
sing-box|anytls-go/udp|0.000229|-|-|1329(79.2%)|1.18|-
