run	mode	protocol	mbps	engine_cores	retransmits	status
1	off	hy2	334.438	1.4381	93	0
1	off	tuic	249.393	1.0591	125	0
1	cap4	hy2	330.122	1.4399	82	0
1	cap4	tuic	226.967	1.0008	123	0
1	cap16	hy2	334.092	1.4231	78	0
1	cap16	tuic	230.125	1.0196	71	0
2	cap4	hy2	345.714	1.4594	71	0
2	cap4	tuic	232.878	1.0041	57	0
2	cap16	hy2	339.159	1.3824	66	0
2	cap16	tuic	219.669	1.0198	94	0
2	off	hy2	331.563	1.3500	95	0
2	off	tuic	213.877	0.9846	107	0
3	cap16	hy2	327.187	1.4138	98	0
3	cap16	tuic	232.747	1.0110	120	0
3	off	hy2	334.731	1.4191	72	0
3	off	tuic	280.712	1.1645	73	0
3	cap4	hy2	326.052	1.3119	97	0
3	cap4	tuic	210.206	0.9739	122	0
4	off	hy2	330.642	1.3725	63	0
4	off	tuic	239.694	1.0304	115	0
4	cap4	hy2	333.389	1.3573	56	0
4	cap4	tuic	228.157	1.0069	118	0
4	cap16	hy2	334.699	1.4458	74	0
4	cap16	tuic	290.149	1.1950	78	0
5	cap4	hy2	330.121	1.4526	71	0
5	cap4	tuic	206.407	0.9526	129	0
5	cap16	hy2	336.673	1.4251	96	0
5	cap16	tuic	251.879	1.0473	120	0
5	off	hy2	341.904	1.4339	70	0
5	off	tuic	283.859	1.1357	125	0
