# host=archlinux arch=x86_64 kernel=7.1.8-arch1-3
# honk_bin=/root/honk-main-4c3ade-musl sha256=ba2821e3c5d1d38db4ba434400449e8f84e950c4746fedf6164e1db629d532a7
# dae_bin=/root/dae sha256=f2dc44b5fa96cd1041ed54082d753a75f81e400b2fe40b7817df0acfae36c2d7
# lab-bench 2026-08-26T16:32:49Z engines=(honk dae) protos=(juicity)
| engine | protocol | cold(s) | hot p50(s) | hot p95(s) | bw(Mbps) | cpu(cores) | rss(MB) |
| --- | --- | --- | --- | --- | --- | --- | --- |
# engine=honk
| honk | direct | 0.001099 | - | - | 9408 | 0.00 | 38 |
| honk | juicity | 0.003413 | 0.000782 | 0.001359 | 6966 | 0.64 | 43 |
| honk | juicity/udp | 0.000111 | - | - | 1142(72.2%) | 0.45 | - |
# engine=dae
| dae | direct | 0.001064 | - | - | 9392 | 0.00 | 37 |
| dae | juicity | 0.003958 | 0.000739 | 0.001210 | 6400 | 0.80 | 51 |
| dae | juicity/udp | 0.000089 | - | - | 1193(71.2%) | 0.43 | - |

## loaded latency stability (200 samples, 250ms cadence)
| engine | protocol | load(Mbps) | p50(ms) | p95(ms) | p99(ms) | max(ms) | failures |
| --- | --- | --- | --- | --- | --- | --- | --- |
| honk | direct | 9390 | 1.718 | 2.512 | 2.977 | 3.603 | 0/200 |
| honk | juicity | 6291 | 1.611 | 3.307 | 3.841 | 4.974 | 0/200 |
| dae | direct | 9387 | 1.767 | 2.676 | 3.180 | 1055.162 | 0/200 |
| dae | juicity | 6045 | 1.900 | 3.354 | 5.324 | 8.559 | 3/200 |
