honk|direct|0.001233|-|-|9399|0.00|42
honk|juicity|0.002284|0.000864|0.001327|6918|0.65|41
honk|juicity/udp|0.000086|-|-|1262(72.6%)|0.48|-
dae|direct|0.000931|-|-|9389|0.00|46
dae|juicity|0.003481|0.000706|0.000746|6617|0.81|51
dae|juicity/udp|0.000198|-|-|1272(72.2%)|0.44|-
honk|direct|0.001604|-|-|9382|0.00|40
honk|juicity|0.001863|0.000956|0.001120|6830|0.64|43
honk|juicity/udp|0.000096|-|-|1229(72.5%)|0.46|-
dae|direct|0.001510|-|-|9388|0.00|37
dae|juicity|0.005280|0.001205|0.003180|6267|0.83|50
dae|juicity/udp|0.000088|-|-|1338(69.2%)|0.45|-
honk|direct|0.001138|-|-|9391|0.00|41
honk|juicity|0.003422|0.000930|0.001008|6738|0.63|47
honk|juicity/udp|0.000109|-|-|1226(73.4%)|0.45|-
dae|direct|0.001225|-|-|9400|0.00|39
dae|juicity|0.003391|0.000969|0.001008|6791|0.84|46
dae|juicity/udp|0.000098|-|-|1271(70.7%)|0.43|-
honk|direct|0.001361|-|-|9411|0.00|76
honk|juicity|0.003801|0.000920|0.001110|6922|0.64|44
honk|juicity/udp|0.000096|-|-|1181(73.2%)|0.43|-
dae|direct|0.001032|-|-|9405|0.00|50
dae|juicity|0.003927|0.000914|0.001232|6605|0.81|56
dae|juicity/udp|0.000104|-|-|1319(71.1%)|0.45|-
honk|direct|0.001421|-|-|9402|0.00|39
honk|juicity|0.003302|0.001316|0.001752|6925|0.66|44
honk|juicity/udp|0.000140|-|-|1258(71.2%)|0.49|-
dae|direct|0.000926|-|-|9386|0.00|44
dae|juicity|0.004773|0.000927|0.000961|6537|0.82|51
dae|juicity/udp|0.000078|-|-|1229(71.5%)|0.43|-
