run	mode	protocol	mbps	engine_cores	retransmits	status
1	off	hy2	6436.092	0.6387	2	0
1	off	tuic	3277.058	0.3430	0	0
1	cap4	hy2	6557.347	0.6410	1	0
1	cap4	tuic	3017.546	0.2956	0	0
1	cap16	hy2	6706.139	0.6514	2	0
1	cap16	tuic	3371.574	0.3429	0	0
2	cap4	hy2	6633.015	0.6460	2	0
2	cap4	tuic	3279.974	0.3355	1	0
2	cap16	hy2	6596.324	0.6436	0	0
2	cap16	tuic	3286.098	0.3230	0	0
2	off	hy2	6365.477	0.6410	2	0
2	off	tuic	3120.196	0.3106	0	0
3	cap16	hy2	6576.212	0.6350	0	0
3	cap16	tuic	3250.427	0.3367	0	0
3	off	hy2	6554.372	0.6275	0	0
3	off	tuic	3318.837	0.3368	0	0
3	cap4	hy2	6231.409	0.6175	0	0
3	cap4	tuic	3254.753	0.3278	0	0
4	off	hy2	6192.665	0.6064	0	0
4	off	tuic	3556.601	0.3591	1	0
4	cap4	hy2	6184.028	0.5816	1	0
4	cap4	tuic	3284.543	0.3266	0	0
4	cap16	hy2	6287.803	0.5876	1	0
4	cap16	tuic	3551.228	0.3468	0	0
5	cap4	hy2	6056.462	0.5651	1	0
5	cap4	tuic	3435.108	0.3280	1	0
5	cap16	hy2	6079.870	0.5779	2	0
5	cap16	tuic	3366.959	0.3404	0	0
5	off	hy2	5669.966	0.5195	0	0
5	off	tuic	3830.123	0.3823	2	0
