# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 3442885744
#
# Children      Self  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  ........  ...............  ...............................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    14.03%    14.03%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes_gcm_dec_update_vaes_avx2                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
    12.92%    12.92%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     4.71%     4.71%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::process_payload                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     4.13%     4.13%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::mpsc::unbounded::UnboundedSender<quinn::ConnectionEvent>>::send                                                                                                                                                                                                                                                                                                                                                                              -      -
     4.02%     4.02%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::connection::ConnectionDriver as core::future::future::Future>::poll                                                                                                                                                                                                                                                                                                                                                                                -      -
     4.02%     4.02%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes_hw_encrypt                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     3.61%     3.61%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::handle_decode                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     3.55%     3.55%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] bytes::bytes_mut::release_shared                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     3.32%     3.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] gcm_gmult_vpclmulqdq_avx2                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     2.79%     2.79%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialDecode>::finish                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     2.74%     2.74%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::endpoint::RecvState>::poll_socket                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     2.44%     2.44%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialDecode>::new::<quinn_proto::packet::FixedLengthConnectionIdParser>                                                                                                                                                                                                                                                                                                                                                            -      -
     1.75%     1.75%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::assembler::Buffer>>::pop                                                                                                                                                                                                                                                                                                                                                             -      -
     1.40%     1.40%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::assembler::Buffer>>::sift_up                                                                                                                                                                                                                                                                                                                                                         -      -
     1.40%     1.40%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <bytes::bytes_mut::BytesMut>::split_to                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     1.22%     1.22%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic_boring::BoringPacketKey as quinn_proto::crypto::PacketKey>::decrypt                                                                                                                                                                                                                                                                                                                                                                   -      -
     1.16%     1.16%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] _mi_page_malloc_zero                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     1.11%     1.11%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.99%     0.99%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::varint::VarInt as quinn_proto::coding::Codec>::decode::<bytes::bytes::Bytes>                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.87%     0.87%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::streams::recv::Chunks>::next                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.87%     0.87%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::mpsc::list::Rx<quinn::ConnectionEvent>>::pop                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.81%     0.81%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] sccp                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.76%     0.76%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::vec_deque::VecDeque<quinn_proto::connection::streams::StreamEvent>>::push_back_mut                                                                                                                                                                                                                                                                                                                                                    -      -
     0.70%     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <boring::aead::AeadCtxRef>::open_in_place                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.70%     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::frame::Iter>::new                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.70%     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PartialDecode>::decrypt_header                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.70%     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_aad                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.70%     0.70%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_finish                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.64%     0.64%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_udp::imp::UdpSocketState>::recv                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.64%     0.64%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_decrypt                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.52%     0.52%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::assembler::Buffer>>::push                                                                                                                                                                                                                                                                                                                                                            -      -
     0.52%     0.52%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::range_set::array_range_set::ArrayRangeSet>::insert                                                                                                                                                                                                                                                                                                                                                                                           -      -


#
# (Tip: Search options using a keyword: perf report -h <keyword>)
#
