protocol	direction	arm	mbps	engine_cores	retransmits	status
hy2	reverse	baseline-1	6620.297	0.6511	1	0
hy2	reverse	baseline-2	6369.340	0.6362	2	0
hy2	reverse	baseline-3	6269.581	0.6287	3	0
hy2	reverse	stat	6303.093	0.6311	1	0
hy2	reverse	user	6495.029	0.6398	1	0
hy2	reverse	strace	4178.119	0.5659	54	0
hy2	forward	baseline-1	5035.040	1.0383	208	0
hy2	forward	baseline-2	5015.497	1.0374	197	0
hy2	forward	baseline-3	5127.857	1.0312	208	0
hy2	forward	stat	5298.230	1.0804	266	0
hy2	forward	user	5211.255	0.9544	243	0
hy2	forward	strace	1191.686	0.4223	491	0
hy2	reverse	kernel	5704.215	0.5530	2	0
tuic	reverse	baseline-1	3758.429	0.3667	2	0
tuic	reverse	baseline-2	3815.689	0.3790	1	0
tuic	reverse	baseline-3	3702.044	0.3671	0	0
tuic	reverse	stat	3569.977	0.3614	0	0
tuic	reverse	user	3508.217	0.3576	1	0
tuic	reverse	strace	2282.259	0.3726	5	0
tuic	forward	baseline-1	5523.292	0.8883	14	0
tuic	forward	baseline-2	5187.747	0.8454	19	0
tuic	forward	baseline-3	5279.175	0.8549	15	0
tuic	forward	stat	5425.163	0.9026	14	0
tuic	forward	user	5358.227	0.9071	10	0
tuic	forward	strace	1089.858	0.3972	238	0
tuic	reverse	kernel	3724.231	0.3864	0	0
