# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 924  of event 'cpu-clock:u'
# Event count (approx.): 1851703392
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ...............  ...............................  ...............................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    13.74%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] memcpy                                                                                                                                                                                                                                                                                                                                                                       -      -
    11.69%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes_gcm_dec_update_vaes_avx2                                                                                                                                                                                                                                                                                                                                                 -      -
     4.33%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::mpsc::unbounded::UnboundedSender<quinn::ConnectionEvent>>::send                                                                                                                                                                                                                                                                                                -      -
     4.11%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::connection::ConnectionDriver as core::future::future::Future>::poll                                                                                                                                                                                                                                                                                                  -      -
     3.90%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] bytes::bytes_mut::release_shared                                                                                                                                                                                                                                                                                                                                             -      -
     3.57%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::process_payload                                                                                                                                                                                                                                                                                                                       -      -
     3.46%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] gcm_gmult_vpclmulqdq_avx2                                                                                                                                                                                                                                                                                                                                                    -      -
     2.92%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::handle_decode                                                                                                                                                                                                                                                                                                                         -      -
     2.71%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn::endpoint::RecvState>::poll_socket                                                                                                                                                                                                                                                                                                                                    -      -
     2.49%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes_hw_encrypt                                                                                                                                                                                                                                                                                                                                                               -      -
     2.16%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::assembler::Buffer>>::pop                                                                                                                                                                                                                                                                               -      -
