run	mode	direction	mbps	engine_cores	retransmits	status
1	0	reverse	3384.530	0.3443	0	0
1	0	forward	5966.138	1.0143	2	0
1	1	reverse	3310.228	0.3344	1	0
1	1	forward	5944.645	0.9702	11	0
2	1	forward	5852.040	0.9568	13	0
2	1	reverse	3327.078	0.3303	1	0
2	0	forward	5696.427	0.9668	12	0
2	0	reverse	3368.141	0.3476	1	0
3	0	reverse	3401.930	0.3529	0	0
3	0	forward	5598.127	0.9519	15	0
3	1	reverse	3124.165	0.3070	0	0
3	1	forward	5870.857	0.9577	6	0
4	1	forward	5611.998	0.8936	11	0
4	1	reverse	3473.241	0.3393	0	0
4	0	forward	5611.462	0.9320	37	0
4	0	reverse	3173.663	0.3193	1	0
5	0	reverse	3340.484	0.3244	0	0
5	0	forward	5464.433	0.8841	37	0
5	1	reverse	3362.120	0.3368	0	0
5	1	forward	5463.322	0.8609	43	0
