run	algorithm	direction	mbps	engine_cores	retransmits	status
1	cubic	reverse	3555.791	0.3542	0	0
1	cubic	forward	5885.317	0.9880	14	0
1	bbr	reverse	3471.675	0.3331	0	0
1	bbr	forward	5504.130	1.0526	128	0
1	new-reno	reverse	3494.612	0.3530	1	0
1	new-reno	forward	5406.817	0.8618	5	0
2	bbr	forward	5080.335	1.0126	203	0
2	bbr	reverse	3602.316	0.3653	1	0
2	new-reno	forward	5428.905	0.8887	20	0
2	new-reno	reverse	3609.443	0.3602	0	0
2	cubic	forward	5709.085	0.9235	7	0
2	cubic	reverse	3471.941	0.3479	0	0
3	new-reno	reverse	3510.892	0.3418	0	0
3	new-reno	forward	5291.187	0.8669	15	0
3	cubic	reverse	3497.995	0.3455	3	0
3	cubic	forward	5596.028	0.8923	14	0
3	bbr	reverse	3453.697	0.3392	0	0
3	bbr	forward	5291.242	1.0417	154	0
4	cubic	forward	5572.713	0.9072	9	0
4	cubic	reverse	3474.313	0.3279	1	0
4	bbr	forward	5640.358	1.0757	128	0
4	bbr	reverse	3395.250	0.3255	1	0
4	new-reno	forward	5523.358	0.8921	15	0
4	new-reno	reverse	3348.226	0.3318	0	0
5	bbr	reverse	3384.609	0.3368	0	0
5	bbr	forward	5487.772	1.0422	159	0
5	new-reno	reverse	3574.687	0.3592	0	0
5	new-reno	forward	5391.433	0.8662	15	0
5	cubic	reverse	3354.378	0.3430	1	0
5	cubic	forward	5746.453	0.9246	6	0
